ts_code,report_year,report_type,ann_date,f_ann_date,n_cashflow_act,cash_recp_sg_and_rs,n_incr_cash_cash_equ,n_cashflow_inv_act,cash_recp_disp_withdrw_invest,n_cash_flows_fnc_act,cash_recp_cap_contrib,created_at,updated_at
300065.SZ,2026,1,2026-04-22,2026-04-22,-47909270.18,113117771.83,-33682051.72,-2822151.76,,19184570.03,,2026-08-30 21:25:48.142065+08:00,
300065.SZ,2026,2,2026-08-24,2026-08-24,-73619190.12,227894186.29,-13581915.71,-5806127.75,,69271320.22,,2026-08-30 21:25:51.332691+08:00,
300066.SZ,2026,1,2026-04-25,2026-04-25,-93787347.65,336891402.67,-610119503.02,-460159893.16,,-55773618.87,,2026-08-30 21:25:48.158682+08:00,
300066.SZ,2026,2,2026-08-24,2026-08-24,-94023230.36,779138032.86,-603914684.04,-448357271.63,,-60787811.72,,2026-08-30 21:25:51.332691+08:00,
300067.SZ,2026,1,2026-04-28,2026-04-28,-13580666.71,119860102.09,-18606980.65,-72044813.74,,67097052.14,,2026-08-30 21:25:48.174613+08:00,
300067.SZ,2026,2,2026-08-27,2026-08-27,15348469.24,281918957.65,-31818699.29,-121370661.28,,74352007.64,0.00,2026-08-30 21:25:51.377161+08:00,
300069.SZ,2026,1,2026-04-29,2026-04-29,1990821.44,77033734.84,22013825.19,-69680842.71,,89729257.31,,2026-08-30 21:25:48.190823+08:00,
300069.SZ,2026,2,2026-08-24,2026-08-24,6267093.18,153062674.91,22385222.69,-112240772.78,,128397563.16,,2026-08-30 21:25:51.332691+08:00,
300070.SZ,2026,1,2026-04-28,2026-04-28,-305178787.68,1543692585.19,-587424434.28,-592404537.91,,312542787.41,18572821.60,2026-08-30 21:25:48.174613+08:00,
300070.SZ,2026,2,2026-08-25,2026-08-25,26990016.35,3377319888.05,29892630.88,-645110519.27,,651437542.14,20776845.60,2026-08-30 21:25:51.360276+08:00,
300071.SZ,2026,2,2026-08-26,2026-08-26,23151570.89,349574376.30,-24255102.54,22544.64,,-47429218.07,160000.00,2026-08-30 21:25:51.360276+08:00,
300072.SZ,2026,1,2026-04-25,2026-04-25,448111992.27,1041772468.56,233703550.53,-4980231.60,,-202491132.07,,2026-08-30 21:25:48.158682+08:00,
300073.SZ,2026,1,2026-04-25,2026-04-25,180875276.81,2457648049.51,298464887.29,20865464.84,,123913805.86,,2026-08-30 21:25:48.158682+08:00,
300073.SZ,2026,2,2026-08-26,2026-08-26,85954959.44,6082196705.83,-221742091.64,-1046479890.35,,814135344.14,196000000.00,2026-08-30 21:25:51.360276+08:00,
300074.SZ,2026,2,2026-08-27,2026-08-27,-49667999.35,104176083.07,-54074646.35,-1323434.31,,-3083757.06,,2026-08-30 21:25:51.377161+08:00,
300075.SZ,2026,1,2026-04-24,2026-04-24,-38420165.77,133069151.54,-238593532.42,-175272258.48,,-24901108.17,,2026-08-30 21:25:48.142065+08:00,
300076.SZ,2026,2,2026-08-27,2026-08-27,-56775299.34,81524823.01,-41972306.58,21080434.54,,-6277441.78,4083300.00,2026-08-30 21:25:51.377161+08:00,
300077.SZ,2026,1,2026-04-24,2026-04-24,-16692526.31,368297047.35,934015116.45,-59918653.01,,1009906104.44,867403378.56,2026-08-30 21:25:48.158682+08:00,
300077.SZ,2026,2,2026-08-22,2026-08-22,-273373326.60,756472886.37,642286123.86,-164769120.79,,1091084176.75,867403378.56,2026-08-30 21:25:51.332691+08:00,
300078.SZ,2026,1,2026-04-28,2026-04-28,-21476495.63,80002040.96,24329249.42,50423198.06,,-7432833.33,,2026-08-30 21:25:48.174613+08:00,
300078.SZ,2026,2,2026-08-21,2026-08-21,-75217904.78,207605034.26,30068262.08,115994977.66,,-8814686.59,,2026-08-30 21:25:51.332691+08:00,
300079.SZ,2026,1,2026-04-23,2026-04-23,-7608054.28,157374123.40,192724881.14,272540547.85,,-56999927.96,,2026-08-30 21:25:48.142065+08:00,
300079.SZ,2026,2,2026-08-22,2026-08-22,34716036.15,329457282.24,35705670.45,117331376.42,,-85214888.41,,2026-08-30 21:25:51.332691+08:00,
300080.SZ,2026,1,2026-04-23,2026-04-23,-83378733.90,749440325.96,-211379378.39,-41570361.48,,-85960600.29,,2026-08-30 21:25:48.142065+08:00,
300081.SZ,2026,1,2026-04-29,2026-04-29,-5537202.51,105779715.28,-30341662.76,-3576433.77,,-21227261.20,,2026-08-30 21:25:48.190823+08:00,
300081.SZ,2026,2,2026-08-26,2026-08-26,-8367042.43,231254263.69,-44205554.09,-10343411.50,,-25493448.95,,2026-08-30 21:25:51.360276+08:00,
300082.SZ,2026,1,2026-04-28,2026-04-28,-241267751.64,936368934.49,31609891.40,-11153983.04,,286028303.52,,2026-08-30 21:25:48.190823+08:00,
300082.SZ,2026,2,2026-08-25,2026-08-25,-139657123.70,2253049189.36,172007612.67,27865413.24,,286181163.34,,2026-08-30 21:25:51.360276+08:00,
300083.SZ,2026,1,2026-04-24,2026-04-24,-272650211.41,1034237530.92,-31601936.60,-380773457.27,,623710199.52,,2026-08-30 21:25:48.142065+08:00,
300083.SZ,2026,2,2026-08-26,2026-08-26,-302425037.77,2444595868.71,-241770024.92,-660183323.90,,720902546.19,22596840.00,2026-08-30 21:25:51.360276+08:00,
300084.SZ,2026,2,2026-08-27,2026-08-27,-52004121.41,167027969.95,42481776.99,10260304.18,,87013234.65,206283400.00,2026-08-30 21:25:51.377161+08:00,
300085.SZ,2026,1,2026-04-24,2026-04-24,-18296727.14,189684455.65,4784033.39,-120510.40,,24459772.72,,2026-08-30 21:25:48.142065+08:00,
300086.SZ,2026,2,2026-08-27,2026-08-27,-11243259.81,153686824.64,-43405471.09,-5021757.34,,-27098428.67,,2026-08-30 21:25:51.377161+08:00,
300087.SZ,2026,1,2026-04-25,2026-04-25,-673259746.30,622481143.58,-670570414.11,-12403596.82,,18605558.61,,2026-08-30 21:25:48.158682+08:00,
300088.SZ,2026,1,2026-04-28,2026-04-28,99631924.67,2725384412.18,272397111.37,237874875.04,,-58927729.46,,2026-08-30 21:25:48.174613+08:00,
300090.SZ,2026,1,2026-04-28,2026-04-28,23762358.09,64940279.59,-202871299.45,-226633657.54,,,,2026-08-30 21:25:48.174613+08:00,
300091.SZ,2026,1,2026-04-25,2026-04-25,-345250105.88,145086921.83,923850603.32,1107261.34,,1268006475.79,2130684004.65,2026-08-30 21:25:48.158682+08:00,
300091.SZ,2026,2,2026-08-22,2026-08-22,-342755671.04,201001985.20,268427101.57,-638582021.20,,1249835978.49,2130684004.65,2026-08-30 21:25:51.332691+08:00,
300092.SZ,2026,1,2026-04-23,2026-04-23,9136814.60,239422131.42,94332349.79,85233346.57,,,,2026-08-30 21:25:48.142065+08:00,
300092.SZ,2026,2,2026-08-22,2026-08-22,47735330.31,489192539.05,-98322216.90,-118611770.39,,-27392327.10,,2026-08-30 21:25:51.332691+08:00,
300093.SZ,2026,1,2026-04-23,2026-04-23,12500157.22,81176536.00,2712052.76,-7085586.39,,-2168055.56,,2026-08-30 21:25:48.142065+08:00,
300093.SZ,2026,2,2026-08-26,2026-08-26,-2773574.18,122256403.05,-7532012.88,-29301442.74,,25278009.53,200000.00,2026-08-30 21:25:51.360276+08:00,
300095.SZ,2026,1,2026-04-29,2026-04-29,-47671025.34,253752943.05,-83456142.78,-14682822.29,,-21115314.69,,2026-08-30 21:25:48.190823+08:00,
300096.SZ,2026,1,2026-04-28,2026-04-28,-88444090.08,99237911.48,-88194881.53,1402140.21,,-1152931.66,,2026-08-30 21:25:48.190823+08:00,
300096.SZ,2026,2,2026-08-26,2026-08-26,-112806203.66,200850521.27,-106324900.91,8328197.32,,-1846894.57,,2026-08-30 21:25:51.360276+08:00,
300097.SZ,2026,1,2026-04-24,2026-04-24,-14198694.34,49796354.21,-10061148.43,-217080.67,,4379713.57,,2026-08-30 21:25:48.142065+08:00,
300098.SZ,2026,1,2026-04-29,2026-04-29,35370929.28,485359036.23,-1963299.83,-17836689.49,,-19084684.12,,2026-08-30 21:25:48.190823+08:00,
300099.SZ,2026,1,2026-04-23,2026-04-23,-13057640.68,73517486.82,3751617.93,16873741.36,,-64482.75,,2026-08-30 21:25:48.142065+08:00,
300099.SZ,2026,2,2026-08-26,2026-08-26,36334026.14,206718002.37,-4442223.93,62569851.13,,-103346101.20,,2026-08-30 21:25:51.360276+08:00,
300100.SZ,2026,1,2026-04-29,2026-04-29,15889841.63,1194191813.07,-144452411.74,-42860281.67,,-112108890.86,,2026-08-30 21:25:48.190823+08:00,
300100.SZ,2026,2,2026-08-25,2026-08-25,396774943.58,2422713514.10,-55979245.03,-126544363.27,,-318382584.21,24335640.00,2026-08-30 21:25:51.360276+08:00,
300101.SZ,2026,1,2026-04-29,2026-04-29,-68323161.85,154651507.48,-89803169.22,-116882137.56,,95402130.19,,2026-08-30 21:25:48.190823+08:00,
300101.SZ,2026,2,2026-08-27,2026-08-27,-55896790.45,304367930.42,-185436470.37,-175132021.61,,45592341.69,,2026-08-30 21:25:51.377161+08:00,
300102.SZ,2026,1,2026-04-23,2026-04-23,-62050759.41,332050698.21,-287022784.55,-245010197.85,,20158057.98,,2026-08-30 21:25:48.142065+08:00,
300102.SZ,2026,2,2026-08-24,2026-08-24,33786610.50,850083726.74,-241410923.70,-404889287.46,,129954679.82,23063825.87,2026-08-30 21:25:51.332691+08:00,
300103.SZ,2026,1,2026-04-27,2026-04-27,-406964.03,43471542.32,27743636.09,31361282.95,,-3080656.89,200000.00,2026-08-30 21:25:48.158682+08:00,
300103.SZ,2026,2,2026-08-22,2026-08-22,650330.54,81753443.07,-21393346.42,37915.42,,-21812117.60,1866700.00,2026-08-30 21:25:51.332691+08:00,
300104.SZ,2026,1,2026-04-29,2026-04-29,1475395.70,68621773.69,-8928697.12,-8158365.80,,-2000000.00,,2026-08-30 21:25:48.190823+08:00,
