ts_code,report_year,report_type,ann_date,roe,roe_dt,roa,npta,grossprofit_margin,profit_dedt,op_yoy,ebt_yoy,netprofit_yoy,debt_to_assets,assets_to_eqt,current_ratio,quick_ratio,or_yoy,tr_yoy,basic_eps,dt_eps,bps,created_at,updated_at
600281.SH,2003,4,2004-04-15,2.8489,2.5770,2.7065,1.4413,18.2804,27233721.88,54.5161,35.7418,34.6289,52.9249,2.1243,1.2495,1.0278,24.9893,24.9893,,,2.9860,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600282.SH,2003,4,2004-01-30,24.8531,24.5413,18.3428,12.0979,14.4293,483395787.34,95.3129,88.5688,101.3276,55.0109,2.2228,1.6268,1.2934,46.3449,46.3449,,,4.3600,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600283.SH,2003,4,2004-04-09,3.2989,1.6641,3.0639,1.8921,54.6449,14556283.46,-70.2291,-63.6869,-40.5871,36.7668,1.5814,1.5468,1.0369,-12.9508,-12.9508,,,3.1200,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600284.SH,2003,4,2004-02-25,17.0720,,8.7403,6.9489,11.9189,,-4.4174,6.6879,5.2856,62.9363,2.6981,0.9417,0.6811,49.2237,49.2237,,,1.7500,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600285.SH,2003,4,2004-04-20,3.3478,3.0827,3.5238,1.8589,66.0609,13053407.54,17.9282,22.8557,8.3274,39.0709,1.6413,2.2222,1.8840,24.6916,24.6916,,,4.3000,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600286.SH,2003,4,2004-04-24,-20.2890,-23.3013,-2.5109,-4.6446,21.7100,-71197615.19,-239.8272,-244.3973,-360.7947,76.1807,4.1983,0.8555,0.5568,-9.5270,-9.5270,,,2.4500,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600287.SH,2003,4,2004-04-19,12.8470,10.7150,7.8208,5.8389,11.0173,83481913.13,29.3746,36.3232,10.9643,62.2829,2.6513,1.3328,1.2570,27.5764,27.5764,,,3.7815,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600288.SH,2003,4,2004-03-26,6.6582,6.2287,5.8657,4.3563,11.3809,45924270.91,3.3803,24.0262,6.4803,43.2866,1.7633,1.7960,1.0894,42.8846,42.8846,,,3.6300,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600289.SH,2003,4,2004-03-19,9.7594,8.9155,8.1573,6.1146,41.0221,87092901.24,-4.5586,17.0319,40.8755,32.6465,1.4847,1.9789,1.8301,31.4113,31.4113,,,9.6342,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600290.SH,2003,4,2004-03-06,4.8025,4.8127,4.9683,2.0334,25.5287,10939157.12,2.7687,11.6263,7.3231,55.9672,2.2710,0.7825,0.5536,42.7378,42.7378,,,1.3400,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600291.SH,2003,4,2004-02-11,7.9293,7.9138,5.5903,4.1552,20.6039,47883186.32,43.7083,43.9908,36.8301,47.7630,1.9144,0.9898,0.8082,41.8035,41.8035,,,3.9300,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600292.SH,2003,4,2004-02-25,7.5071,7.4257,4.0321,3.3415,29.5637,60842301.52,-15.4300,-9.8063,-12.3584,58.6919,2.4208,0.5906,0.5661,-1.9455,-1.9455,,,5.0820,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
