ts_code,name,fullname,enname,list_date,delist_date,market,curr_type,list_status,created_at,updated_at
02228.HK,晶泰控股,晶泰控股有限公司,XtalPi Holdings Limited,2024-06-13,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02230.HK,羚邦集团,羚邦集团有限公司,Medialink Group Limited,2019-05-21,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02231.HK,景业名邦集团,景业名邦集团控股有限公司,JY Grandmark Holdings Limited,2019-12-05,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02232.HK,晶苑国际,晶苑国际集团有限公司,Crystal International Group Limited,2017-11-03,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02233.HK,西部水泥,中国西部水泥有限公司,West China Cement Limited,2010-08-23,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02235.HK,微泰医疗-B,微泰医疗器械(杭州)股份有限公司,"MicroTech Medical (Hangzhou) Co., Ltd.",2021-10-19,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02236.HK,惠生工程,惠生工程技术服务有限公司,Wison Engineering Services Co. Ltd.,2012-12-28,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02237.HK,中国石墨,中国石墨集团有限公司,China Graphite Group Limited,2022-07-18,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02238.HK,广汽集团,广州汽车集团股份有限公司,"Guangzhou Automobile Group Co., Ltd.",2010-08-30,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02239.HK,国微控股,国微控股有限公司,SMIT Holdings Ltd.,2016-03-30,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02245.HK,力勤资源,宁波力勤资源科技股份有限公司,"Lygend Resources & Technology Co., Ltd.",2022-12-01,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02246.HK,快狗打车,快狗打车控股有限公司,Gogox Holdings Limited,2022-06-24,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02250.HK,小黄鸭德盈,小黄鸭德盈控股国际有限公司,B. Duck Semk Holdings International Limited,2022-01-17,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
